arT (Gold),6634.02
somebody (Gold),6508.65
ZywOo (Gold),4404.08
NiKo (Gold),4321.52
frozen (Gold),4123.52
kNgV- (Gold),3554.76
huNter- (Gold),3482.13
Summer (Gold),3440.09
device (Gold),3021.93
Twistzz (Gold),2520.44
Brehze (Gold),2503.62
BnTeT (Gold),2402.71
Perfecto (Gold),2401.18
rain (Gold),2369.84
Attacker (Gold),2300.27
olofmeister (Gold),2112.21
KSCERATO (Gold),1971.55
Lucky (Gold),1896.63
Freeman (Gold),1654.30
chrisJ (Gold),1623.72
nexa (Gold),1608.43
kinqie (Gold),1568.68
FalleN (Gold),1556.45
karrigan (Gold),1501.40
CeRq (Gold),1450.19
Jame (Gold),1408.14
woxic (Gold),1404.32
GuardiaN (Gold),1315.64
Sico (Gold),1306.47
Stewie2K (Gold),1297.29
electronic (Gold),1230.78
Ethan (Gold),1224.67
v4lde (Gold),1210.14
Aleksib (Gold),1187.21
chelo (Gold),1152.04
yuurih (Gold),1100.06
Forester (Gold),1079.42
f0rest (Gold),1076.36
EliGE (Gold),1056.49
GeT_RiGhT (Gold),1011.38
Xyp9x (Gold),1002.21
oBo (Gold),987.68
NEO (Gold),981.57
coldzera (Gold),960.16
NAF (Gold),959.40
dupreeh (Gold),947.17
Kjaerbye (Gold),943.34
Ramz1kBO$$ (Gold),937.99
Magisk (Gold),915.06
VINI (Gold),899.01
xsepower (Gold),886.01
DeStiNy (Gold),876.84
JaCkz (Gold),874.54
gla1ve (Gold),856.96
ottoNd (Gold),850.84
tarik (Gold),848.55
shox (Gold),832.50
yel (Gold),811.86
Jerry (Gold),801.15
svyat (Gold),785.87
TACO (Gold),764.46
stanislaw (Gold),761.40
FL1T (Gold),758.34
speed4k (Gold),750.70
neaLaN (Gold),740.00
fer (Gold),723.18
NBK- (Gold),715.53
apEX (Gold),710.18
almazer (Gold),707.89
AmaNEk (Gold),692.60
LETN1 (Gold),691.07
JUGi (Gold),691.07
oskar (Gold),690.31
Liazz (Gold),671.20
facecrack (Gold),648.26
t0rick (Gold),648.26
nitr0 (Gold),645.20
dexter (Gold),641.38
malta (Gold),639.09
REZ (Gold),629.91
EspiranTo (Gold),609.27
LUCAS1 (Gold),574.87
Lekr0 (Gold),565.70
erkaSt (Gold),558.05
ableJ (Gold),551.94
aizy (Gold),539.71
Golden (Gold),537.41
gade (Gold),537.41
Krad (Gold),536.65
jks (Gold),532.06
ISSAA (Gold),527.48
Zeus (Gold),522.12
Keoz (Gold),516.01
xand (Gold),511.42
Boombl4 (Gold),492.31
xseveN (Gold),489.25
flamie (Gold),483.14
allu (Gold),480.08
SANJI (Gold),477.79
buster (Gold),464.03
ALEX (Gold),463.26
qikert (Gold),457.15
loWel (Gold),425.04
SicK (Gold),424.27
AZR (Gold),411.28
Gratisfaction (Gold),408.22
